"player_api_id","player_name","overall_rating","gk_rating","appearances","league_no"
"449",22355,"Lorenzo Del Prete",70,43,4,1
"450",22382,"Drissa Diarra",64,129,56,1
"451",22386,"Stefano Ferrario",66,50,29,1
"452",22418,"Peterson Pecanha",74,365,56,1
"453",22421,"Tiago Valente",70,49,80,2
"454",22427,"Ricardo Pedrinha,27",70,143,27,1
"455",22428,"Cristiano",74,142,45,1
"456",22434,"Ronny Carlos da Silva",68,44,14,1
"457",22444,"Garry Wood",55,100,11,1
"458",22514,"Rodrigues Saulo",68,127,27,1
"459",22519,"Carlitos",66,44,69,1
"460",22535,"Elson",73,54,17,1
"461",22543,"Radamel Falcao",90,43,147,4
"462",22544,"Wason Renteria",76,70,21,1
"463",22545,"Marcinho",75,113,25,1
"464",22700,"Lorenzo Bucchi",58,288,12,1
"465",22706,"Kostadin Hazurov",65,38,28,1
"466",22707,"Stanislav Manolev",73,144,79,2
"467",22714,"Ivan Ivanov",72,44,11,1
"468",22764,"Martin Skrtel",82,44,220,1
"469",22785,"Stilianos Malezas",75,47,21,1
"470",22822,"Aleksander Seliga",67,338,32,1
"471",22824,"Dusan Svento",75,136,14,1
"472",22831,"Marcel Gecov",65,60,21,2
"473",22832,"Lukas Jarolim",71,147,15,1
"474",22834,"Marek Suchy",78,62,79,1
"475",22894,"Dean Hammond",69,59,9,1
"476",22924,"Neil Alexander",73,367,52,1
"477",22928,"Glenn Loovens",73,128,78,2
"478",22929,"Joe Ledley",76,52,151,2
"479",22952,"Isaac Osbourne",66,47,67,1
"480",22959,"Luke Varney",73,60,24,1
"481",22962,"Ben Williams",66,323,74,1
"482",22964,"Billy Jones",72,58,99,1
"483",22969,"Michael Higdon",71,48,175,2
"484",22978,"Ross Turnbull",74,376,28,1
"485",22982,"Philip Chidi Onyemah",64,123,22,1
"486",22984,"Ivan Cordoba",83,128,57,1
"487",22988,"Mark Hudson",72,42,2,1
"488",22991,"Ben Watson",73,42,85,1
"489",22994,"Tom Soares",68,141,14,2
"490",22998,"Julian Speroni",77,379,75,1
"491",23007,"Andrew Davies",69,88,31,1
"492",23016,"Chris Turner",60,53,3,1
"493",23019,"Giles Barnes",74,140,1,1
"494",23021,"Boaz Myhill",77,384,116,1
"495",23022,"Andrew Dawson",72,128,60,1
"496",23023,"Ian Ashbee",73,131,31,1
"497",23025,"Nick Barmby",67,134,19,1
"498",23027,"Matt Duke",64,318,21,1
"499",23030,"Damien Delaney",75,52,97,1
"500",23034,"Craig Fagan",72,150,35,1
"501",23036,"Ryan France",60,39,1,1
"502",23051,"Jimmy Juan",61,134,11,1
"503",23054,"Owen Garvan",68,149,1,1
"504",23065,"Stephen Crainey",73,34,31,1
"505",23069,"Frazer Richardson",69,53,2,1
